               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  51,            0.023362,            0.014787,           0.0025447,             0.83317,             0.89299,             0.90368,              0.7228,            0.018817,            0.013249,           0.0062281,              0.0067,              0.0067,              0.0067
                  52,            0.022138,            0.014533,           0.0024432,             0.82852,             0.87537,             0.88974,              0.7035,            0.019998,            0.013502,           0.0071406,            0.006634,            0.006634,            0.006634
                  53,            0.022312,            0.014443,           0.0025637,             0.87823,              0.8117,             0.88486,             0.71183,            0.019173,            0.013683,           0.0098292,            0.006568,            0.006568,            0.006568
                  54,            0.021982,            0.014227,           0.0026643,              0.8668,             0.84453,             0.89352,             0.70225,            0.019772,            0.014155,           0.0077329,            0.006502,            0.006502,            0.006502
                  55,              0.0219,            0.013992,           0.0027262,             0.86046,             0.84231,             0.89367,             0.72321,            0.018912,            0.013542,           0.0082342,            0.006436,            0.006436,            0.006436
                  56,            0.022485,             0.01458,           0.0022837,             0.83264,             0.87601,             0.91547,             0.72793,            0.018689,            0.013239,           0.0071809,             0.00637,             0.00637,             0.00637
                  57,            0.021732,            0.013559,           0.0022315,             0.83724,             0.85692,             0.89796,             0.71261,            0.019448,             0.01416,           0.0071194,            0.006304,            0.006304,            0.006304
                  58,            0.022135,            0.014457,           0.0019624,             0.85389,              0.8265,             0.88153,             0.70158,            0.019287,            0.014117,           0.0094449,            0.006238,            0.006238,            0.006238
                  59,            0.022014,            0.014215,           0.0021155,             0.84976,             0.85847,             0.89111,             0.71155,            0.019079,            0.014548,           0.0082041,            0.006172,            0.006172,            0.006172
                  60,            0.021529,            0.013847,           0.0022227,             0.84167,             0.90976,             0.90809,             0.70421,            0.019905,            0.013362,           0.0076299,            0.006106,            0.006106,            0.006106
                  61,             0.02122,            0.014022,           0.0019897,             0.85821,             0.84808,             0.90007,             0.72557,            0.018189,            0.013683,           0.0071383,             0.00604,             0.00604,             0.00604
                  62,            0.021384,            0.013291,           0.0016958,             0.85932,             0.85517,             0.91064,              0.7165,            0.019808,            0.013009,           0.0075541,            0.005974,            0.005974,            0.005974
                  63,            0.021412,            0.013995,           0.0020387,             0.85167,             0.86444,             0.91661,             0.73209,             0.01846,            0.013396,           0.0070754,            0.005908,            0.005908,            0.005908
                  64,             0.02061,            0.013423,           0.0021354,             0.83809,             0.89136,               0.903,             0.72349,            0.018339,            0.013599,           0.0070815,            0.005842,            0.005842,            0.005842
                  65,             0.02107,            0.014057,           0.0021642,             0.86231,             0.82601,             0.90068,             0.72849,            0.018485,            0.014068,           0.0083763,            0.005776,            0.005776,            0.005776
